frame_x,predict
0,65Y36982
1,49X63908
2,92K83713
3,11Y84090
4,20A05061
5,46S14243
6,13D76774
7,02O77280
8,68Q31451
9,49R75508
10,91K10564
11,95G59770
12,97I45003
13,95O53534
14,75F38777
15,21D91276
16,20F68371
17,69H65456
18,16T77949
19,67W54000
20,45Q36095
21,78T07024
22,48B12455
23,12A57107
24,21L11282
25,95U98903
26,10L22606
27,67C45183
28,00K25821
29,30A58982
30,21W35727
31,62K82075
32,62J71457
33,15N28015
34,56W24001
35,13H33587
36,89V80352
37,41Q72095
38,58H83547
39,74Q57726
40,49I27604
41,21D14176
42,01Z39653
43,81D52710
44,26H69356
45,57W75813
46,73G62786
47,96R64474
48,21S89641
49,74U14027
50,88W83645
51,15F01666
52,23F39762
53,27T92948
54,42L53403
55,57C81001
56,63J06092
57,98P28270
58,25B91867
59,76I46365
60,05T71888
61,16X26279
62,26Q96653
63,87M95958
64,27O24520
65,37T02763
66,97J45205
67,06W03589
68,18F36283
69,08N39184
70,06O58641
71,58N06692
72,36Q94693
73,26C22593
74,34P72879
75,67X27034
76,34T46168
77,96V16718
78,58S54466
79,63U87534
80,91O19493
81,89Z95546
82,63X42416
83,32Q94631
84,23S24663
85,23W09869
86,03D69881
87,70B83352
88,02M91297
89,49B94724
90,53O25717
91,30J34767
92,99R23111
93,21K98245
94,93K80793
95,91C01475
96,45P83699
97,52S90205
98,90Q73710
99,72Y08119
100,21M28816
