frame_x,predict
0,19Q00169
1,62Z37896
2,68I19708
3,13C50202
4,26H65205
5,08N00431
6,62C86637
7,69N44406
8,55Z94536
9,66J84094
10,11K05773
11,84R98696
12,37D00872
13,80K84328
14,24D89135
15,54B82270
16,43M68266
17,95H90651
18,00Y70176
19,76R39934
20,66P15499
21,57P76984
22,15I46543
23,31J84576
24,50N33130
25,55L21684
26,69T59891
27,73B32711
28,62H45295
29,25K93713
30,88B43760
31,64N78662
32,87B14301
33,50M06227
34,49R59538
35,48K13769
36,70Q62233
37,46C55282
38,60Q65905
39,39O21524
40,29K33905
41,10X42771
42,52U89604
43,92L51845
44,13L86170
45,97B90582
46,48O12810
47,30S26318
48,65N68012
49,47L64823
50,65M65335
51,68V71414
52,87C22685
53,15Q41245
54,33Y72032
55,56J27389
56,11X04847
57,18Q52116
58,11O96113
59,71H79118
60,94S21217
61,32M77154
62,70G43343
63,72Q41443
64,29F67318
65,88R44281
66,66Z27005
67,58F70031
68,92C90144
69,14N32813
70,08C28519
71,02Q05979
72,96K85584
73,19L82893
74,89C02288
75,61W78380
76,40R71044
77,54W04752
78,89P71984
79,52W08482
80,53B86208
81,02U40921
82,27G86904
83,69S53985
84,07Y38691
85,53H58955
86,69X60933
87,28S63709
88,64B64515
89,45Z56022
90,47X91068
91,16S45524
92,65P76611
93,00V14699
94,22S71594
95,02I67604
96,49G01064
97,89M15883
98,82Q49884
99,14O15777
100,77O05203
